orth,freq,log_freq
bruise,3,1.609437912
brunt,1,1.098612289
brush,44,3.828641396
brute,6,2.079441542
buck,20,3.091042453
bud,9,2.397895273
budge,3,1.609437912
buff,5,1.945910149
bug,4,1.791759469
bugle,2,1.386294361
build,86,4.477336814
built,103,4.65396035
bulb,7,2.197224577
bulge,5,1.945910149
bulk,16,2.890371758
bull,14,2.772588722
bum,7,2.197224577
bump,5,1.945910149
bun,1,1.098612289
bunch,17,2.944438979
bunk,18,2.995732274
bunt,3,1.609437912
burke,7,2.197224577
burl,2,1.386294361
burn,15,2.833213344
burnt,6,2.079441542
burr,7,2.197224577
burst,33,3.555348061
bus,34,3.583518938
bush,14,2.772588722
buss,1,1.098612289
bust,7,2.197224577
but,4381,8.3854887
butt,12,2.63905733
butte,1,1.098612289
buy,70,4.276666119
buzz,13,2.708050201
by,5305,8.576781983
bye,2,1.386294361
cab,12,2.63905733
cache,1,1.098612289
cadre,3,1.609437912
cage,9,2.397895273
cain,2,1.386294361
cake,13,2.708050201
cal,2,1.386294361
calf,11,2.564949357
call,188,5.247024072
calm,35,3.610917913
cam,1,1.098612289
came,622,6.436150368
camp,75,4.343805422
can,1772,7.480992163
can't,169,5.141663557
cane,12,2.63905733
cant,1,1.098612289
cap,27,3.36729583
cape,20,3.091042453
caps,6,2.079441542
car,274,5.620400866
card,26,3.33220451
care,162,5.099866428
carl,41,3.761200116
carr,2,1.386294361
cart,5,1.945910149
carte,1,1.098612289
carve,3,1.609437912
case,362,5.897153868
cash,36,3.63758616
cask,1,1.098612289
cast,45,3.850147602
caste,3,1.609437912
castle,7,2.197224577
cat,23,3.218875825
catch,43,3.80666249
cattle,97,4.59511985
caught,98,4.605170186
cause,130,4.882801923
cave,9,2.397895273
cease,15,2.833213344
ceil,1,1.098612289
cell,65,4.204692619
cent,158,5.075173815
centre,2,1.386294361
chafe,1,1.098612289
chain,50,3.951243719
chair,66,4.219507705
chaise,1,1.098612289
chalk,3,1.609437912
champ,1,1.098612289
chance,131,4.890349128
change,240,5.488937726
chant,2,1.386294361
chap,5,1.945910149
char,1,1.098612289
charge,122,4.820281566
charm,26,3.33220451
chart,22,3.17805383
chase,18,2.995732274
chat,5,1.945910149
chaw,1,1.098612289
cheap,24,3.258096538
cheat,3,1.609437912
check,88,4.49980967
cheek,20,3.091042453
cheer,8,2.302585093
cheese,9,2.397895273
chef,9,2.397895273
chess,3,1.609437912
chest,53,4.007333185
chew,2,1.386294361
chic,7,2.197224577
chick,3,1.609437912
chide,2,1.386294361
chief,119,4.795790546
child,213,5.370638028
childe,1,1.098612289
chile,1,1.098612289
chill,14,2.772588722
