WORD,KFFRQ
CLOD,1
CLOG,2
CLOSE,234
CLOT,3
CLOTH,43
CLOTHE,1
CLOUD,28
CLOUT,1
CLOVE,1
CLOWN,3
CLUB,145
CLUCK,3
CLUE,15
CLUMP,4
CLUMPS,4
CLUNG,14
CLUTCH,5
CO,48
COACH,24
COAL,32
COARSE,10
COAST,61
COAT,43
COAX,1
COBLE,1
COCK,5
COD,6
CODE,40
COE,5
COIL,6
COIN,10
COKE,4
COL,7
COLD,171
COLE,1
COLT,18
COMB,6
COMBE,1
COME,630
CON,7
CONE,13
COOK,47
COOL,62
COOP,3
COP,15
COPE,21
COPS,17
CORD,6
CORE,37
CORK,9
CORN,34
CORP,13
CORPS,109
CORPSE,7
COST,229
COUCH,12
COUGH,7
COULD,1599
COUNT,49
COUP,4
COUPE,2
COURSE,465
COURT,230
COUVE,1
COVE,2
COW,29
COX,5
COY,4
COYOTE,1
CRACK,21
CRACKLE,2
CRAFT,23
CRAIG,2
CRAMP,2
CRANE,5
CRANK,1
CRAP,3
CRASH,20
CRASS,2
CRATE,2
CRAVE,2
CRAWL,11
CRAZE,2
CREAK,1
CREAM,20
CREASE,1
CREATE,54
CRECHE,1
CREED,8
CREEK,14
CREEP,10
CREPE,1
CREPT,11
CREST,12
CREW,36
CRIB,5
CRIED,30
CRIME,34
CRIPPLE,1
CRISP,8
CROAK,1
CRONE,2
CROOK,3
CROP,20
CROSS,55
CROUCH,7
CROW,2
CROWD,53
CROWN,19
CRUDE,15
CRUEL,15
CRUISE,2
CRUMB,3
CRUMBLE,2
CRUMP,1
CRUNCH,2
CRUS,4
CRUSH,4
CRUST,1
CRUTCH,1
CRUX,2
CRY,48
CRYING,15
CRYPT,1
CUBE,1
CUD,1
CUFF,1
CULT,11
CUP,45
CUR,1
CURB,13
CURD,2
CURE,28
CURL,2
CURSE,11
CURT,32
CURVE,45
CUSP,2
CUT,192
CUTE,5
CYCLE,24
CZAR,1
D,90
DAD,15
DADE,2
DAG,7
DAK,1
DALE,5
DAM,5
DAME,7
DAMN,34
DAMP,16
DAN,27
DANCE,90
DANE,2
DANG,1
DANGLE,1
DANK,1
DANTE,2
DAPHNE,1
DARE,21
DARK,185
DARN,3
DAS,2
DASH,11
DATE,103
DAUNT,1
DAWN,28
DAY,686
DAZZLE,1
DE,122
DEAD,174
DEAF,12
DEAL,142
DEALT,22
DEAN,40
DEAR,54
DEARTH,3
DEATH,277
DEBT,13
DEC,17
DECK,23
DEED,8
DEEM,1
DEEP,109
DEER,13
DEFT,2
DEL,12
DELL,5
DEN,2
DENSE,9
DENT,2
DEPTH,53
DERE,1
DESK,65
DEW,3
DEY,2
DIAL,1
DICE,14
DICK,18
DID,1044
DIE,73
DIES,12
DIG,10
DIGS,1
DILL,12
DIM,19
DIME,4
DIN,1
DINE,2
DIP,6
DIRE,1
DIRGE,2
DIRT,43
DISC,6
DISH,16
DISK,25
DITCH,10
DIVE,23
DO,1363
DOCK,8
DODGE,11
DOE,1
DOES,485
DOG,75
DOING,163
DOLE,1
DOLL,10
DOME,17
DON,23
DON'T,489
DONE,320
DOO,2
DOOM,3
DOOR,312
DOPE,2
DORR,3
DOSE,11
DOST,1
DOT,13
DOUBLE,56
DOUBT,114
DOUCE,1
DOUGH,13
DOUR,2
DOVE,4
DOW,4
DOWN,895
DRAB,5
DRAFT,24
DRAG,15
DRAIN,18
DRAKE,2
DRAM,1
DRANK,19
DRAUGHT,1
DRAW,56
DRAWL,2
DRAWN,70
DREAD,9
DREAM,64
DRESS,67
DREW,68
DRIED,28
DRIER,3
DRIFT,18
DRILL,33
DRINK,82
DRIP,1
DRIVE,105
DRONE,3
DROOP,1
DROP,59
DROSS,4
DROUGHT,5
DROUTH,1
DROVE,62
DROWN,3
DRUG,24
DRUID,1
DRUM,11
DRUNK,37
DRY,68
DRYER,4
DRYING,29
DUAL,9
DUCK,9
DUCT,1
DUD,1
DUE,142
DUET,1
DUG,15
DUKE,11
DULL,27
DUMB,13
DUMP,4
DUMPS,1
DUN,1
DUNE,1
DUNG,2
DUSK,9
DUST,70
DUTCH,15
DWARF,3
DWELL,8
DWINDLE,2
DYEING,1
DYING,34
DYKE,1
E,101
EACH,877
EAR,29
EARL,12
EARN,16
EARTH,150
EASE,42
EAST,183
EAT,61
EAVE,1
EBB,1
EDGE,78
EEL,2
EGG,12
EH,8
EIGHT,104
EIGHTH,23
ELK,1
ELL,1
ELM,3
ELSE,176
EM,44
EN,7
END,410
ERE,1
ERR,1
EST,3
EVE,19
EWE,1
EX,2
EYE,122
EYED,7
F,70
FABLE,2
FACE,371
FACT,447
FAD,2
FADE,2
FAIL,37
FAIN,1
FAINT,25
FAIR,77
FAITH,111
FAKE,10
FALL,147
FALSE,29
FAME,18
FAN,18
FAR,427
FARCE,3
FARE,7
FARM,125
FAST,78
FAT,60
FATE,33
FAULT,22
FAWN,1
FAY,1
FAZE,1
FE,7
FEAR,127
FEAST,3
FEAT,6
FED,42
FEE,16
FEEBLE,8
FEED,123
FEEL,216
FEET,283
FEINT,2
FELL,92
FELT,357
FENCE,30
FER,2
FERN,1
FETCH,6
FETE,3
FEUD,1
FEW,601
FIANCE,1
FIAT,13
FIELD,274
FIEND,3
FIERCE,8
FIFE,1
FIFTH,38
FIG,72
FIGHT,98
FIKE,2
FILE,81
FILL,50
FILM,96
FILTH,2
FIN,2
FIND,399
FINE,161
FINN,1
FIR,2
FIRM,109
FIRST,1360
FISH,35
FISK,2
FIST,26
FIT,75
FITCH,1
FIVE,286
FIX,14
FLAG,16
FLAIL,1
FLAIR,8
FLAKE,1
FLAME,17
FLANGE,2
FLANK,2
FLARE,3
FLASH,21
FLASK,5
FLAT,67
FLAW,3
FLAX,3
FLEA,2
FLECK,1
FLED,28
FLEE,1
FLEET,17
FLESH,52
FLEW,27
FLEX,2
FLICK,2
FLIGHT,46
FLING,2
FLINT,4
FLIP,4
FLIRT,1
FLOAT,3
FLOCK,10
FLOE,1
FLOG,1
FLOOD,19
FLOOR,158
FLOP,1
FLOW,67
FLOWN,4
FLU,8
FLUENT,5
FLUFF,1
FLUKE,1
FLUNG,14
FLUSH,11
FLUTE,1
FLUX,30
FLY,33
FLYER,4
FLYING,43
FOAL,2
FOAM,37
FOE,8
FOG,25
FOH,1
FOIL,20
FOLD,7
FOLK,34
FOND,13
FOOD,147
FOOL,37
FOOT,70
FOR,9489
FORCE,230
FORD,24
FORE,7
FORGE,10
FORK,14
FORM,370
FORT,55
FORTE,6
FORTH,71
FOUGHT,46
FOUL,4
FOUND,536
FOUR,359
FOURTH,74
FOWL,1
FOX,13
FOY,2
FRAIL,8
FRAME,74
FRANC,1
FRANK,68
FRAU,1
FRAUD,8
FRAY,1
FREAK,4
FREE,260
FREEZE,6
FREIGHT,28
FRENCH,139
FRESH,82
FRET,1
FRIAR,1
FRIED,6
FRIEND,133
FRIEZE,13
FRIGHT,2
FRINGE,16
FRIST,1
FROCK,2
FROG,1
FROM,4369
FRONT,221
FROST,6
FROTH,1
FROWN,1
FROZE,5
FRUIT,35
FRY,2
FUEL,17
FULL,230
FUMBLE,1
FUN,44
FUND,62
FUNK,4
FUR,13
FUSE,5
FUSS,4
FUZZ,3
FY,1
G,50
GAB,1
GABLE,2
GAG,4
GAGE,4
GAGGLE,1
GAIN,74
GAIT,8
GALE,2
GALL,7
GALT,2
GAME,123
GANG,22
GAP,17
GARB,3
GARTH,14
GAS,98
GASH,1
GASP,3
GATE,37
GAUCHE,1
GAUGE,12
GAUL,1
GAUNT,6
GAUSS,2
GAUZE,1
GAVE,285
GAY,30
GAZE,12
GEAR,26
GEE,4
GEESE,3
GEL,2
GEM,4
GEN,23
GENE,9
GENRE,2
GENTLE,27
GEORGE,129
GERM,3
GET,750
GHOST,11
GHOUL,1
GIANT,23
GIAOUR,1
GIBE,1
GIFT,33
GIG,1
GILD,1
GILL,2
GILT,3
GIN,23
GIRD,1
GIRL,220
GIRTH,1
GIST,1
GIT,4
GIVE,391
GLAD,38
GLANCE,40
GLAND,9
GLARE,7
GLASS,99
GLAZE,11
GLEAM,4
GLEAN,1
GLEE,3
GLEN,7
GLIB,1
GLIDE,2
GLIMPSE,16
GLINT,2
GLOBE,13
GLOOM,14
GLOSS,1
GLOVE,9
GLOW,16
GLUE,8
GLUM,1
GNAW,1
GNOME,1
GO,626
GOA,1
GOAD,1
GOAL,60
GOAT,6
GOB,1
GOD,318
GOG,1
GOING,399
GOLD,52
