WORD,KFFRQ
QUICK,68
QUILL,9
QUINCE,2
QUINT,11
QUIRK,1
QUIRT,8
QUIT,15
QUITE,281
QUITS,1
QUIZ,2
QUOD,1
QUOTE,17
R,66
RABBLE,2
RACE,103
RACK,9
RAFT,4
RAG,10
RAGE,16
RAID,10
RAIL,16
RAIN,70
RAISE,52
RAKE,11
RAM,2
RAMP,6
RAN,134
RANCH,27
RAND,1
RANG,21
RANGE,160
RANK,24
RAP,2
RAPE,5
RAPT,1
RARE,41
RASH,1
RASP,2
RAT,6
RATE,209
RAW,43
RAY,19
RE,2
REACH,106
READ,173
REAL,260
REALM,19
REAP,3
REAR,51
RED,197
REED,5
REEF,11
REEK,2
REEL,2
REICH,6
REIGN,7
REIN,3
REINS,9
REND,1
RENT,21
REP,13
REPS,3
REST,163
RETCH,1
REV,33
REX,5
RHEUM,1
RHINE,7
RHYME,3
RIB,1
RICE,33
RICH,74
RID,19
RIDE,49
RIDGE,18
RIFFLE,1
RIFT,1
RIG,5
RIGHT,613
RIM,5
RIME,1
RING,47
RINK,2
RINSE,6
RIP,6
RIPE,14
RIPPLE,5
RISE,102
RISK,54
RITE,8
ROACH,2
ROAD,197
ROAM,6
ROAR,13
ROAST,10
ROB,19
ROBE,6
ROCK,75
ROD,18
RODE,40
ROE,1
ROGUE,1
ROLE,104
ROLL,35
ROME,70
ROMP,1
ROOF,59
ROOM,383
ROOST,1
ROOT,30
ROPE,15
ROSE,86
ROSS,11
ROT,8
ROUGE,7
ROUGH,41
ROUND,81
ROUSE,2
ROUTE,43
ROVE,1
ROW,35
ROYAL,48
RUB,6
RUBBLE,1
RUDE,6
RUE,6
RUG,13
RULE,73
RUM,3
RUMP,2
RUN,212
RUNG,3
RUNT,1
RUSE,2
RUSH,20
RUSK,10
RUSS,21
RUST,10
RUT,1
RUTH,23
RYE,4
S,135
SACK,8
SACRE,1
SAD,35
SAFE,58
SAG,4
SAGE,2
SAID,1961
SAIL,12
SAINT,16
SAITH,4
SAKE,41
SALE,44
SALLE,2
SALT,46
SALVE,3
SAM,79
SAME,686
SAMPLE,57
SAN,70
SAND,28
SANE,8
SANG,29
SANK,18
SANS,2
SAP,1
SASH,3
SAT,150
SAUCE,20
SAUTE,1
SAVE,62
SAW,352
SAX,6
SAY,504
SAYING,113
SAYS,200
SCALD,1
SCALE,60
SCALP,4
SCAN,5
SCANT,5
SCAR,10
SCARCE,6
SCARE,3
SCARF,4
SCENE,106
SCENT,6
SCHEME,33
SCHNAPPS,1
SCHOOL,492
SCIENCE,131
SCOOP,5
SCOP,1
SCOPE,27
SCOPS,1
SCORE,66
SCORN,4
SCOT,1
SCOTCH,5
SCOTS,8
SCOURGE,2
SCOUT,8
SCRAP,8
SCRAPE,3
SCRATCH,9
SCREAM,13
SCREECH,1
SCREEN,48
SCREW,21
SCRIBE,4
SCRIM,1
SCRIPT,11
SCRUB,9
SCUFF,1
SCUSE,1
SE,9
SEA,95
SEAL,17
SEAM,9
SEAR,2
SEARCH,66
SEAT,54
SEC,19
SECT,2
SEE,772
SEED,41
SEEING,86
SEEK,69
SEEM,229
SEEN,279
SEEP,2
SEIZE,6
SELF,40
SELL,41
SEN,30
SEND,74
SENSE,311
SENT,145
SEPT,35
SEQ,1
SERGE,5
SERVE,107
SET,414
SEW,6
SEWN,1
SEX,84
SHACK,1
SHADE,28
SHAFT,11
SHAG,1
SHAH,2
SHAKE,17
SHALL,267
SHAM,1
SHAME,21
SHAN'T,1
SHANK,1
SHAPE,85
SHARE,98
SHARP,72
SHAVE,6
SHAW,9
SHAWL,3
SHAY,1
SHE,2859
SHEA,10
SHEAF,3
SHEAR,40
SHEATH,4
SHED,11
SHEEN,2
SHEEP,23
SHEER,15
SHEET,45
SHEIK,4
SHELF,12
SHELL,22
SHIELD,8
SHIFT,41
SHIM,1
SHIN,3
SHINE,5
SHIP,83
SHIRT,27
SHIT,2
SHOCK,31
SHOD,2
SHOE,14
SHONE,5
SHOOK,57
SHOOT,27
SHOP,63
SHORE,61
SHORT,212
SHOT,112
SHOULD,888
SHOUT,9
SHOVE,2
SHOW,287
SHOWN,166
SHRANK,1
SHRED,3
SHREWD,8
SHRIEK,5
SHRILL,7
SHRIMP,2
SHRINE,7
SHRINK,5
SHROVE,1
SHRUB,1
SHRUG,2
SHUN,1
SHUNT,1
SHUT,46
SHUTE,1
SHY,13
SI,1
SIC,4
SICK,51
SIDE,380
SIDLE,1
SIEGE,6
SIEVE,1
SIGH,11
SIGHT,86
SIGN,94
SILK,12
SILL,4
SIMPLE,161
SIN,53
SINCE,628
SINE,4
SING,34
SINGLE,172
SINK,23
SIP,2
SIR,95
SIT,67
SITE,64
SIX,220
SIXTH,26
SIZE,138
SIZZLE,1
SKATE,1
SKEET,2
SKETCH,16
SKI,5
SKID,2
SKIFF,9
SKILL,42
SKIN,47
SKIP,5
SKIRT,21
SKIT,1
SKULK,1
SKULL,3
SKY,58
SKYE,1
SLAB,9
SLACK,9
SLAM,3
SLANG,2
SLANT,3
SLAP,2
SLASH,3
SLAT,2
SLATE,10
SLAVE,30
SLAYING,3
SLEEK,2
SLEEP,65
SLEET,1
SLEEVE,11
SLEIGHT,1
SLEPT,27
SLICE,13
SLICK,7
SLID,24
SLIDE,20
SLIGHT,53
SLIM,20
SLING,1
SLIP,19
SLIT,6
SLOB,4
SLOE,2
SLOOP,1
SLOP,2
SLOPE,19
SLOT,6
SLOUCH,1
SLOUGH,1
SLOW,60
SLUDGE,4
SLUG,10
SLUICE,2
SLUM,8
SLUMP,8
SLUNG,2
SLY,5
SMACK,4
SMALL,542
SMART,21
SMASH,4
SMEAR,2
SMELL,34
SMELT,3
SMILE,58
SMIRK,3
SMITH,54
SMOG,1
SMOKE,41
SMOOTH,42
SMUG,7
SNACK,6
SNAG,3
SNAIL,1
SNAKE,44
SNAP,12
SNARE,1
SNATCH,4
SNEAD,2
SNEAK,2
SNEER,1
SNICK,1
SNIFF,2
SNIFFLE,1
SNOOK,1
SNOOP,1
SNORT,3
SNOUT,1
SNOW,59
SNUG,2
SO,1984
SOAK,7
SOAP,22
SOCK,4
SOD,3
SOE,1
SOFT,61
SOIL,54
SOL,3
SOLD,47
SOLE,18
SOLVE,20
SOMBRE,2
SOME,1617
SON,166
SONG,70
SOON,199
SOOT,1
SOOTHE,2
SOP,1
SORE,10
SORT,164
SOU,1
SOUFFLE,1
SOUGHT,55
SOUL,47
SOUND,204
SOUP,16
SOUR,3
SOURCE,94
SOUTH,240
SOW,3
SOWN,3
SOY,1
SPA,2
SPACE,184
SPADE,10
SPAN,19
SPARE,23
SPARK,12
SPARSE,5
SPAT,9
SPATE,2
SPEAK,110
SPEAR,7
SPEC,1
SPECK,7
SPED,9
SPEECH,61
SPEED,83
SPEER,1
SPELL,19
SPEND,53
SPENT,104
SPHERE,22
SPHINX,1
SPICE,4
SPIKE,2
SPILL,1
SPIN,5
SPINE,6
SPIRE,5
SPIT,11
SPITE,56
SPITTLE,2
SPLASH,3
SPLEEN,2
SPLICE,1
SPLIT,30
SPLURGE,1
SPOIL,3
SPOKE,87
SPONGE,7
SPOOF,1
SPOON,6
SPORT,17
SPOT,57
SPOUSE,3
SPOUT,1
SPRANG,13
SPRAWL,3
SPRAY,16
SPREAD,83
SPREE,4
SPRIG,1
SPRING,127
SPRITE,1
SPROUT,1
SPRUCE,5
SPRUE,2
SPRUNG,8
SPUME,1
SPUN,16
SPUR,13
SPURT,2
SPY,9
SQUAD,18
SQUALL,7
SQUARE,143
SQUASH,2
SQUAT,7
SQUAW,1
SQUAWK,1
SQUEAK,1
SQUEAL,1
SQUEEZE,11
SQUINT,1
SQUIRE,5
SQUIRT,1
STAB,3
STACK,9
STAFF,113
STAG,8
STAGE,174
STAID,1
STAIN,6
STAIR,2
STAKE,20
STALE,4
STALL,18
STAMP,8
STANCE,6
STANCH,1
STAND,148
STAPLE,1
STAR,25
STARCH,4
STARE,14
STARK,7
STARR,1
START,154
STARTLE,1
STARVE,1
STATE,808
STAUNCH,3
STAVE,2
STAY,113
STAYING,17
STEAD,5
STEAK,10
STEAL,5
STEALTH,5
STEAM,17
STEED,1
STEEL,45
STEEP,13
STEER,9
STEIN,18
STEM,29
STENCH,1
STEP,131
STERN,23
STEW,5
STICK,39
STIFF,21
STIFLE,2
STILL,782
STING,5
STINK,3
STINT,6
STIR,7
STITCH,3
STOCK,147
STOLE,10
STONE,58
STOOD,212
STOOL,8
STOOP,4
STOP,120
STORE,74
STORM,26
STOUT,3
STOVE,15
STRAFE,2
STRAGGLE,2
STRAIGHT,114
STRAIN,31
STRAIT,5
STRAND,7
STRANGE,84
STRAP,2
STRAW,15
STRAY,12
STREAK,10
STREAM,51
STREET,244
STRENGTH,136
STRESS,107
STRETCH,26
STRICT,11
STRIDE,16
STRIFE,6
STRIKE,50
STRING,19
STRIP,30
STRIPE,4
STRIVE,7
STRODE,10
STROKE,19
STROLL,4
STRONG,202
STROVE,4
STRUCK,59
STRUNG,4
STRUT,3
STUB,3
STUBBLE,2
STUCK,23
STUD,7
STUFF,32
STUMP,2
STUNG,2
STUNK,1
STUNT,1
STYLE,98
SUAVE,2
SUB,5
SUCH,1303
SUCK,5
SUDS,9
SUE,18
SUING,1
SUIT,48
SUITE,27
SUM,45
SUN,112
SUNG,18
SUNK,6
SUNT,1
SUP,1
SURE,264
SURF,1
SURGE,9
SVELTE,1
SWAM,6
SWAMP,5
SWAN,3
SWANK,1
SWAP,2
SWARM,3
SWART,1
SWATH,1
SWAY,5
SWAYED,9
SWAYING,3
SWEAR,10
SWEAT,23
SWEEP,15
SWEET,70
SWELL,7
SWEPT,34
SWERVE,2
SWIFT,32
SWIG,2
SWIM,15
SWINE,3
SWING,24
SWIPE,2
SWIRL,2
SWISS,14
SWITCH,43
SWOOP,2
SWORD,7
SWORE,14
SWORN,5
SWUM,1
SWUNG,48
T,32
TAB,1
TACK,4
TACT,6
TAFT,1
TAG,5
TAIL,24
TAINT,1
TAKE,611
TALE,21
TALK,154
TALL,55
TAME,5
TAMP,1
TAN,9
TANG,4
TANK,12
TAP,18
TAPE,35
TAR,12
TART,7
TASK,60
TASTE,59
TAT,1
TAU,1
TAUGHT,50
TAUNT,4
TAUT,8
TAX,197
TEA,28
TEACH,41
TEAM,83
TEAR,11
TEASE,6
TED,7
TEE,5
TEEN,6
TEENS,5
TEETH,103
TELL,268
TEMPLE,38
TEMPT,2
TEN,165
TEND,43
TENSE,15
TENT,20
TENTH,7
TER,1
TERM,79
TERSE,2
TEST,119
TEXT,60
THAN,1789
THANK,36
THAR,2
THAT,10595
THAW,6
THE,69971
THEE,17
THEFT,10
THEIR,2670
THEIRS,21
THEM,1789
THEME,55
THEN,1377
THENCE,6
THERE,2724
THESE,1573
THEY,3618
THICK,67
THIEF,8
THIGH,9
THIMBLE,1
THIN,92
THINE,1
THING,333
THINK,433
THIRD,190
THIRST,4
THIS,5146
THO,1
THONG,1
THOR,9
THORN,3
THORP,2
THORPE,4
THOSE,850
THOU,14
THOUGH,442
THOUGHT,515
THRASH,1
THREAD,15
THREAT,42
THREE,610
THREW,46
THRICE,1
THRIFT,5
THRILL,5
THRIVE,1
THROAT,51
THRONE,5
THRONG,3
THROUGH,969
THROW,42
THROWN,40
THRUSH,2
THRUST,22
THUD,3
THUG,1
THULE,1
THUMB,10
THUMP,3
THUS,312
THWACK,1
THWART,3
THY,12
TICK,3
TIDE,11
TIE,23
TIFT,1
TIGHT,28
TILE,16
TILL,50
TILT,5
TILTH,1
TIMBRE,2
TIME,1599
TIN,12
TINT,1
TIP,22
TIPPLE,1
TIS,2
TITLE,77
TITRE,2
TO,26149
TOAD,4
TOAST,19
TOCH,1
TOE,9
TOIL,1
TOLD,413
TOLL,16
TOM,63
TOMB,11
TON,13
TONE,78
TONG,1
TONGS,1
TONGUE,35
TOO,832
TOOK,426
TOOL,40
TOOT,3
TOOTH,20
TOP,204
TORCH,2
TORE,15
TORN,25
TORQUE,5
TOSS,9
TOTE,1
TOUCH,87
TOUGH,36
TOUR,43
TOUT,1
TOW,1
TOWN,212
TOY,4
TOYING,1
TRACE,23
TRACK,38
TRACT,17
TRADE,143
TRAIL,31
TRAIN,82
TRAIT,3
TRAMP,1
TRAMPLE,3
TRANCE,4
TRAP,20
TRAPS,8
TRASH,2
TRAY,18
TREAD,5
TREAT,26
TREBLE,2
TREE,59
TREK,2
TREMBLE,10
TRENCH,2
TREND,46
TRIAL,134
TRIBE,4
TRICK,15
TRIED,170
TRIG,10
TRILL,3
TRIM,20
TRIP,81
TRIPE,1
TRIPLE,5
TRITE,2
TROOP,16
TROT,12
TROUGH,3
TROUPE,3
TROUT,4
TROY,3
TRUANT,1
TRUCE,5
TRUCK,57
TRUE,231
TRUMP,1
TRUNK,8
TRUST,52
TRUTH,126
TRY,140
TRYING,163
TSAR,1
TUB,13
TUBE,31
TUCK,2
TUG,3
TULLE,1
TUNE,10
TURF,3
TURK,5
TURN,233
TWAIN,1
TWEED,5
TWELFTH,5
TWELVE,48
TWICE,74
TWIN,7
TWINGE,3
TWIST,18
TWITCH,3
TWO,1412
TYING,5
TYPE,200
U,91
UGH,1
UM,5
UN,2
UNCLE,57
UP,1895
URGE,21
URN,2
US,672
USE,589
USED,612
V,31
VADE,2
VAGUE,25
VAIL,3
VAIN,10
VALE,4
VALVE,3
VAMP,1
VAN,32
VASE,4
VAST,61
VAULT,2
VEAL,1
VEER,2
VEIL,8
VEIN,25
VELDT,1
VENT,10
VERB,4
VERGE,2
VERSE,28
VERSED,2
VERVE,4
VEST,4
VET,1
VEX,1
VIA,48
VIC,4
VICE,41
VIEW,186
VILE,5
VINE,4
VIVE,1
VIZ,1
VOGUE,6
VOICE,226
VOID,10
VOL,2
VOTE,75
VOW,2
VOYAGE,17
WADE,2
WAGE,56
WAIL,3
WAIST,11
WAIT,94
WAIVE,1
WAKE,23
WALK,100
WALL,160
WALT,5
WALTZ,1
WAN,2
WAND,1
WANT,329
WAR,464
WARD,25
WARE,1
WARM,67
WARMTH,28
WARN,11
WARP,4
WART,11
WAS,9816
WASH,37
WASP,2
WASTE,35
WATCH,81
WATT,2
WAVE,46
WAX,14
WAY,909
WE,2653
WE'RE,61
WEAK,32
WEALTH,22
WEAR,36
WEAVE,4
WEB,6
WED,2
WEDGE,4
WEE,5
WEED,1
WEEK,275
WEEP,14
WEIGH,4
WEIGHT,91
WEIR,2
WEIRD,10
WELD,4
WELL,897
WELSH,4
WENT,507
WEPT,9
WERE,3284
WEREN'T,22
WERT,2
WEST,235
WET,53
WHACK,1
WHARF,4
WHAT,1908
WHEAT,9
WHEEL,56
WHEN,2331
WHENCE,3
WHERE,938
WHICH,3562
WHIFF,1
WHIG,6
WHILE,680
WHIM,2
WHINE,4
WHIP,19
WHIR,3
WHIRL,3
WHIT,1
WHITE,365
WHIZ,2
WHO,2252
WHOA,1
WHOLE,309
WHOM,146
WHOOP,1
WHOOSH,1
WHORE,2
WHOSE,252
WHY,404
WICK,4
WIDE,125
WIDTH,14
WIELD,1
WIFE,228
WIG,1
WIGGLE,1
WILD,56
WILL,2244
WILT,3
WIN,55
WIND,63
WINE,72
WING,18
WINK,7
WIPE,10
WIRE,42
WIS,1
WISE,36
WISH,110
WISP,2
WIT,20
WITCH,5
WITH,7289
WOBBLE,3
WOE,5
WOKE,14
WOLD,1
WOLF,6
WOMB,1
WON,68
WON'T,105
WONT,2
WOO,3
WOOD,55
WOOL,10
WOP,1
WORD,274
WORE,65
WORK,760
WORLD,787
WORM,4
WORN,23
WORSE,50
WORST,34
WORTH,94
WOULD,2714
WOUND,28
WOUNDS,8
WOVE,3
WOW,1
WRACK,1
WRAP,5
WRATH,9
WREAK,1
WREATH,8
WRECK,8
WREST,1
WRESTLE,2
WRETCH,1
WRIGHT,46
WRING,2
WRIST,10
WRIT,7
WRITE,106
WRITHE,2
WRONG,129
WROTE,181
WROUGHT,3
WRY,5
X,1
Y,11
YACHT,4
YALE,13
YANK,7
YARD,35
YARN,14
YAWL,1
YAWN,2
YAWS,1
YE,11
YEA,3
YEAR,660
YEARN,1
YEAST,3
YELL,9
YELP,2
YEN,3
YES,144
YET,419
YIELD,35
YOKE,3
YOLK,1
YON,1
YORE,2
YORK,301
YOU,3286
YOUNG,385
YOUR,923
YOURS,25
YOUTH,82
YOW,5
ZEAL,8
ZEME,1
ZEST,5
ZINC,10
ZION,6
ZIP,1
ZONE,11
ZOO,9
ZOUNDS,2

